"調查年度",103,"放養面積","1,273.15(公頃)"
"魚種名稱","淡水長腳蝦","放養數量","265,071,250(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","526","38","4","4,251","4,819","144.4497","8.2399","0.9432","1,119.5130","1,273.1458","100.00","82,239,750","265,071,250","198","10","1","1,188","1,379","9","1,370"
"臺南市","2","0","0","12","14","3.0833","0","0","5.3604","8.4437","0.66","0","1,950,000","2","0","0","7","9","0","9"
"屏東縣","446","27","4","3,690","4,167","117.0231","3.8713","0.9432","1,013.9072","1,135.7448","89.21","78,062,750","232,009,050","162","3","1","1,039","1,194","9","1,185"
"雲林縣","2","3","0","1","6","0.7117","1.3355","0","0.1216","2.1688","0.17","15,000","660,000","2","1","0","1","3","0","3"
"嘉義縣","12","8","0","73","93","4.0776","3.0331","0","18.4575","25.5682","2.01","180,000","6,655,200","4","6","0","16","26","0","26"
"彰化縣","9","0","0","249","258","1.4994","0","0","30.1330","31.6324","2.48","400,000","10,872,000","5","0","0","73","78","0","78"
"高雄市","16","0","0","189","205","5.1356","0","0","40.0159","45.1515","3.55","3,582,000","5,165,000","7","0","0","40","47","0","47"
"宜蘭縣","39","0","0","36","75","12.9190","0","0","11.4785","24.3975","1.92","0","7,760,000","16","0","0","11","21","0","21"
"桃園縣","0","0","0","1","1","0","0","0","0.0389","0.0389","0.00","0","0","0","0","0","1","1","0","1"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","6","1.6265","225,000","0","2"
"今年4月","67","19.0421","2,330,000","60,000","39"
"今年5月","278","79.6918","10,002,000","210,000","1,176"
"今年6月","431","122.3460","14,761,000","1,306,000","6,555"
"今年7月","400","119.4521","11,368,000","3,097,000","274"
"今年8月","217","64.6710","5,809,000","2,320,000","224"
"今年9月","215","64.8461","3,760,000","4,370,000","205"
"今年10月","246","71.7233","2,495,000","7,521,550","6,364"
"今年11月","155","46.0687","950,000","6,198,500","471"
"今年12月","228","67.6758","2,165,000","11,415,200","182"
"明年1月","66","20.1192","940,000","1,435,000","58"
"明年2月","43","13.2416","0","2,245,000","40"
"明年3月","13","4.3588","0","705,000","6"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水"
"總　計","1,621","3,166","32","438.4807","828.2395","6.4256","36,180,250","45,988,500","71,000","75,760,050","187,106,200","2,205,000","1,084","14,534","1"
"臺南市","7","6","1","4.3153","3.8844","0.2440","0","0","0","900,000","850,000","200,000","8","2","1"
"屏東縣","1,426","2,715","26","394.4330","736.6532","4.6586","32,598,250","45,393,500","71,000","72,460,050","157,894,000","1,655,000","1,076","14,276","0"
"雲林縣","0","6","0","0","2.1688","0","0","15,000","0","0","660,000","0","0","24","0"
"嘉義縣","0","93","0","0","25.5682","0","0","180,000","0","0","6,655,200","0","0","85","0"
"彰化縣","0","257","1","0","31.3258","0.3066","0","400,000","0","0","10,842,000","30,000","0","0","0"
"高雄市","188","17","0","39.7324","5.4191","0","3,582,000","0","0","2,400,000","2,765,000","0","0","98","0"
"宜蘭縣","0","71","4","0","23.1811","1.2164","0","0","0","0","7,440,000","320,000","0","49","0"
"桃園縣","0","1","0","0","0.0389","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","1","0.1995","6","0.8795","8","1.4324","1,219","302.5148","3,585","968.1196"
"臺南市","0","0","0","0","0","0","0","0","14","8.4437"
"屏東縣","1","0.1995","6","0.8795","8","1.4324","1,215","301.6578","2,937","831.5756"
"雲林縣","0","0","0","0","0","0","0","0","6","2.1688"
"嘉義縣","0","0","0","0","0","0","0","0","93","25.5682"
"彰化縣","0","0","0","0","0","0","0","0","258","31.6324"
"高雄市","0","0","0","0","0","0","1","0.3366","204","44.8149"
"宜蘭縣","0","0","0","0","0","0","2","0.4815","73","23.9160"
"桃園縣","0","0","0","0","0","0","1","0.0389","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","0","2,000","40,000,000","203,000","0","14,653,300","156,349,000","67,381,450","68,722,250"
"臺南市","0","0","0","0","0","0","0","0","0","1,950,000"
"屏東縣","0","0","2,000","40,000,000","203,000","0","14,653,300","155,549,000","63,204,450","36,460,050"
"雲林縣","0","0","0","0","0","0","0","0","15,000","660,000"
"嘉義縣","0","0","0","0","0","0","0","0","180,000","6,655,200"
"彰化縣","0","0","0","0","0","0","0","0","400,000","10,872,000"
"高雄市","0","0","0","0","0","0","0","150,000","3,582,000","5,015,000"
"宜蘭縣","0","0","0","0","0","0","0","650,000","0","7,110,000"
"桃園縣","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
