"調查年度",95,"放養面積","85.3777(公頃)"
"魚種名稱","淡水長腳蝦","放養數量","100,297,645(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"合　計","1,410","1","85.3777","0","85.3777","100.00","100,297,645","11,352,000"
"屏東縣","1,382","1","79.4049","0","79.4049","93.00","97,004,686","372,000"
"臺南縣","0","0","0","0","0","0","0","0"
"雲林縣","0","0","0","0","0","0","0","0"
"嘉義縣","0","0","0","0","0","0","0","0"
"高雄縣","0","0","0","0","0","0","0","10,980,000"
"彰化縣","6","0","0.6153","0","0.6153","0.72","123,000","0"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","13","0","2.9728","0","2.9728","3.48","3,100,000","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","9","0","2.3847","0","2.3847","2.79","69,959","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"公有","3","0","0.8735","0","0.8735","1.03"
"自有","286","0","69.2198","0","69.2198","81.27"
"公有租用","0","0","0","0","0","0"
"私有租用","61","0","15.0814","0","15.0814","17.71"
"私有","1,059","1","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","12","0","0.6278","0","0.6278","0.74"
"中間養成","120","0","31.9769","0","31.9769","37.45"
"成魚養成","1,278","0","52.7730","0","52.7730","61.81"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","1,397","0","82.4049","0","82.4049","96.52"
"純海水","0","0","0","0","0","0"
"半淡鹹水","13","0","2.9728","0","2.9728","3.48"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","38","0","9.3808","0","9.3808","10.99"
"今年6月","43","0","9.8922","0","9.8922","11.59"
"今年7月","23","0","5.7858","0","5.7858","6.78"
"今年8月","39","0","9.2720","0","9.2720","10.86"
"今年9月","62","0","16.4547","0","16.4547","19.27"
"今年10月","39","0","9.8579","0","9.8579","11.55"
"今年11月","23","0","4.4725","0","4.4725","5.24"
"今年12月","16","0","4.0056","0","4.0056","4.69"
"明年1月","9","0","1.4360","0","1.4360","1.68"
"明年2月","0","0","0","0","0","0"
"明年3月","15","0","3.7801","0","3.7801","4.43"
"明年4月","11","0","2.2018","0","2.2018","2.58"
"明年5月","5","0","1.5908","0","1.5908","1.86"
"明年6月","1","0","0.3127","0","0.3127","0.37"
"明年7月","0","0","0","0","0","0"
"明年8月","1","0","0.4741","0","0.4741","0.56"
"明年9月","0","0","0","0","0","0"
"明年10月","1","0","0.2655","0","0.2655","0.31"
"明年11月","0","0","0","0","0","0"
"明年12月","1","0","0.1513","0","0.1513","0.18"
"後年","0","0","0","0","0","0"
"今年4月","24","0","6.0439","0","6.0439","7.08"
"今年1月","0","0","0","0","0","0"
"今年3月","0","0","0","0","0","0"
"今年2月","0","0","0","0","0","0"
