"調查年度",106,"放養面積","19.01(公頃)"
"魚種名稱","觀賞魚","放養數量","1,748,000(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","69","0","0","119","188","7.8902","0","0","11.1200","19.0102","100.00","160,967,961","1,748,000","12","0","0","39","51","30","21"
"臺南市","0","0","0","14","14","0","0","0","0.9942","0.9942","5.23","73,620","0","0","0","0","3","3","3","0"
"屏東縣","47","0","0","73","120","3.7161","0","0","5.7264","9.4425","49.67","450,200","1,014,000","6","0","0","28","34","15","19"
"雲林縣","0","0","0","3","3","0","0","0","0.2953","0.2953","1.55","147,000","0","0","0","0","1","1","1","0"
"嘉義縣","1","0","0","8","9","0.0661","0","0","0.7558","0.8219","4.32","58,140","0","1","0","0","4","5","5","0"
"彰化縣","0","0","0","7","7","0","0","0","0.9929","0.9929","5.22","46,000","0","0","0","0","1","1","0","1"
"高雄市","17","0","0","1","18","3.7791","0","0","0.1251","3.9042","20.54","160,030,001","0","3","0","0","1","4","4","0"
"宜蘭縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"桃園市","4","0","0","13","17","0.3289","0","0","2.2303","2.5592","13.46","163,000","734,000","2","0","0","1","3","2","1"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","1","0.0411","1,000","1,000","3"
"今年6月","0","0","0","0","0"
"今年7月","0","0","0","0","0"
"今年8月","0","0","0","0","0"
"今年9月","0","0","0","0","0"
"今年10月","0","0","0","0","0"
"今年11月","0","0","0","0","0"
"今年12月","0","0","0","0","0"
"明年1月","0","0","0","0","0"
"明年2月","0","0","0","0","0"
"明年3月","0","0","0","0","0"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水"
"總　計","87","80","21","6.6418","8.1192","4.2492","281,821","686,140","160,000,000","338,000","1,310,000","100,000","0","4","0"
"臺南市","11","3","0","0.5685","0.4257","0","1,620","72,000","0","0","0","0","0","0","0"
"屏東縣","73","42","5","5.7264","3.2055","0.5106","250,200","200,000","0","238,000","676,000","100,000","0","0","0"
"雲林縣","0","3","0","0","0.2953","0","0","147,000","0","0","0","0","0","0","0"
"嘉義縣","0","9","0","0","0.8219","0","0","58,140","0","0","0","0","0","0","0"
"彰化縣","0","7","0","0","0.9929","0","0","46,000","0","0","0","0","0","0","0"
"高雄市","2","0","16","0.1656","0","3.7386","30,001","0","160,000,000","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"桃園市","1","16","0","0.1813","2.3779","0","0","163,000","0","100,000","634,000","0","0","4","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","0","0","42","5.7584","49","4.2698","11","0.6988","86","8.2832"
"臺南市","0","0","0","0","9","0.6452","3","0.1381","2","0.2109"
"屏東縣","0","0","9","0.2337","33","3.0109","7","0.4793","71","5.7186"
"雲林縣","0","0","0","0","1","0.0516","0","0","2","0.2437"
"嘉義縣","0","0","2","0.1784","6","0.5621","1","0.0814","0","0"
"彰化縣","0","0","0","0","0","0","0","0","7","0.9929"
"高雄市","0","0","18","3.9042","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0","0","0"
"桃園市","0","0","13","1.4421","0","0","0","0","4","1.1171"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","0","160,251,001","745,000","188,360","8,000","30,600","40,000","498,000","955,000"
"臺南市","0","0","0","0","3,020","0","600","0","70,000","0"
"屏東縣","0","0","21,000","15,000","175,200","8,000","20,000","40,000","234,000","951,000"
"雲林縣","0","0","0","0","2,000","0","0","0","145,000","0"
"嘉義縣","0","0","40,000","0","8,140","0","10,000","0","0","0"
"彰化縣","0","0","0","0","0","0","0","0","46,000","0"
"高雄市","0","0","160,030,001","0","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0","0","0"
"桃園市","0","0","160,000","730,000","0","0","0","0","3,000","4,000"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
