"調查年度",91,"放養面積","(公頃)"
"魚種名稱","花跳","放養數量","(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"全國","0","0","0","0","0","0","0","0"
"屏東縣","0","0","0","0","0","0","0","0"
"臺南縣","167","3","115.0000","1.1700","116.1700","98.08","3,062,400","165,000"
"雲林縣","0","0","0","0","0","0","0","0"
"嘉義縣","3","0","2.1700","0","2.1700","1.83","220,000","0"
"高雄縣","0","0","0","0","0","0","0","10,000"
"彰化縣","1","0","0.1000","0","0.1000","0.08","12,900","0"
"臺南市","0","0","0","0","0","0","0","0"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"合　計","171","3","117.2700","1.1700","118.4400","100.00","3,295,300","175,000"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"室內","0","0","0","0","0","0"
"室外","171","3","117.2700","1.1700","118.4400","100.00"
"兼有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","1","1","0.1000","0.4700","0.5700","0.48"
"中間養成","0","0","0","0","0","0"
"成魚養成","44","2","33.0300","0.7000","33.7300","28.48"
"蓄養可上市之成魚","126","0","84.1400","0","84.1400","71.04"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","4","0","2.1400","0","2.1400","10.71"
"鹹水","0","0","0","0","0","0"
"半淡鹹水","20","0","17.8400","0","17.8400","89.29"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","0","0","0","0","0","0"
"今年7月","3","0","2.8700","0","2.8700","2.42"
"今年8月","7","0","8.8600","0","8.8600","7.48"
"今年9月","3","1","2.2100","0.4300","2.6400","2.23"
"今年10月","6","1","4.2000","0.2700","4.4700","3.77"
"今年11月","19","0","18.0400","0","18.0400","15.23"
"今年12月","93","1","52.1600","0.4700","52.6300","44.44"
"明年1月","34","0","24.7800","0","24.7800","20.92"
"明年2月","6","0","4.1500","0","4.1500","3.50"
"明年3月","0","0","0","0","0","0"
"明年4月","0","0","0","0","0","0"
"明年5月","0","0","0","0","0","0"
"明年6月","0","0","0","0","0","0"
"明年7月","0","0","0","0","0","0"
"明年8月","0","0","0","0","0","0"
"明年9月","0","0","0","0","0","0"
"明年10月","0","0","0","0","0","0"
"明年11月","0","0","0","0","0","0"
"明年12月","0","0","0","0","0","0"
"後年","0","0","0","0","0","0"
