"調查年度",99,"放養面積","508.2632(公頃)"
"魚種名稱","金目鱸","放養數量","72,497,266(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","214","520","34","1,268","2,036","59.0513","146.5433","12.3357","290.3329","508.2632","100.00","21,105,540","72,497,266","78","204","15","458","736","49","679"
"屏東縣","8","6","3","575","592","3.8911","0.7939","0.8953","120.6056","126.1859","24.83","13,444,700","15,421,600","5","3","3","192","201","23","175"
"臺南縣","14","4","12","12","42","4.5767","1.6089","4.1733","4.1994","14.5583","2.86","141,300","1,106,007","6","2","2","4","13","0","13"
"雲林縣","5","0","0","5","10","0.5116","0","0","0.7472","1.2588","0.25","0","500,000","1","0","0","1","2","1","1"
"嘉義縣","144","140","17","127","428","36.9024","38.7554","6.9538","37.3558","119.9674","23.60","3,166,000","31,154,000","46","50","9","39","139","4","135"
"高雄縣","19","359","0","473","851","6.3679","92.5431","0","107.6670","206.5780","40.64","4,222,590","16,758,352","7","144","0","183","326","18","303"
"彰化縣","0","0","2","2","4","0","0","0.3133","0.8018","1.1151","0.22","1,200","50,000","0","0","1","1","2","0","2"
"臺南市","24","11","0","74","109","6.8016","12.8420","0","18.9561","38.5997","7.59","129,750","7,507,307","13","5","0","38","53","3","50"
"宜蘭縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","0","0","0","0","0"
"今年6月","0","0","0","0","0"
"今年7月","0","0","0","0","0"
"今年8月","0","0","0","0","0"
"今年9月","0","0","0","0","0"
"今年10月","0","0","0","0","0"
"今年11月","0","0","0","0","0"
"今年12月","0","0","0","0","0"
"明年1月","0","0","0","0","0"
"明年2月","0","0","0","0","0"
"明年3月","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","30","5.7829","155","17.1111","203","43.4448","1,648","441.9244"
"屏東縣","19","3.4493","79","7.3463","52","10.9827","442","104.4076"
"臺南縣","0","0","0","0","11","4.8847","31","9.6736"
"雲林縣","0","0","5","0.7472","0","0","5","0.5116"
"嘉義縣","0","0","6","1.3933","101","19.6518","321","98.9223"
"高雄縣","9","1.9785","58","6.1816","14","2.6564","770","195.7615"
"彰化縣","0","0","0","0","0","0","4","1.1151"
"臺南市","2","0.3551","7","1.4427","25","5.2692","75","31.5327"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","238,000","316,000","7,596,700","16,052,507","1,055,800","31,972,606","12,215,040","24,156,153"
"屏東縣","223,000","185,000","7,587,500","7,342,500","1,014,000","3,050,600","4,620,200","4,843,500"
"臺南縣","0","0","0","0","0","840,006","141,300","266,001"
"雲林縣","0","0","0","0","0","0","0","500,000"
"嘉義縣","0","0","0","2,350,000","25,000","20,300,000","3,141,000","8,504,000"
"高雄縣","15,000","131,000","9,200","6,360,000","15,800","357,000","4,182,590","9,910,352"
"彰化縣","0","0","0","0","0","0","1,200","50,000"
"臺南市","0","0","0","7","1,000","7,425,000","128,750","82,300"
"宜蘭縣","0","0","0","0","0","0","0","0"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","0","0"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0"
