"調查年度",103,"放養面積","885.78(公頃)"
"魚種名稱","烏魚","放養數量","6,759,600(尾、粒、隻)"
"所屬縣市","已完成調查魚塭口數",,,,,"魚塭面積(公頃)",,,,,"百分比(%)","放養量",,"養殖戶數",,,,,"養殖戶類別統計"
,"第一類(有水權)","第一類(無水權)","第二類","第三類","小計","第一類(有水權)","第一類(無水權)","第二類","第三類","小計",,"在池（尾、粒、隻）","新放養（尾、粒、隻）","第一類(有水權)","第一類(無水權)","第二類","第三類","小計","魚苗戶","養成戶"
"總　計","705","381","12","769","1,867","367.9742","167.5516","4.5158","345.7384","885.7800","100.00","5,823,814","6,759,600","292","170","4","358","779","0","779"
"臺南市","224","17","0","144","385","147.8819","9.0341","0","77.5415","234.4575","26.47","1,774,900","1,594,000","82","6","0","60","145","0","145"
"屏東縣","1","0","0","4","5","0.3789","0","0","1.2143","1.5932","0.18","253,000","0","1","0","0","2","3","0","3"
"雲林縣","23","145","0","267","435","8.8063","59.2910","0","109.5379","177.6352","20.05","1,357,496","460,200","11","64","0","124","188","0","188"
"嘉義縣","374","171","12","224","781","173.1673","77.0250","4.5158","94.5499","349.2580","39.43","1,736,118","3,281,700","163","86","4","107","330","0","330"
"彰化縣","25","0","0","55","80","7.9242","0","0","21.5528","29.4770","3.33","213,600","24,200","10","0","0","26","36","0","36"
"高雄市","39","46","0","21","106","16.5594","21.5396","0","10.2716","48.3706","5.46","166,700","906,000","15","13","0","9","37","0","37"
"宜蘭縣","1","0","0","1","2","0.0842","0","0","0.0870","0.1712","0.02","20,000","5,000","1","0","0","1","2","0","2"
"桃園縣","0","2","0","1","3","0","0.6619","0","0.0264","0.6883","0.08","56,500","0","0","1","0","1","2","0","2"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","9","0","0","47","56","6.4572","0","0","24.9176","31.3748","3.54","240,500","410,000","4","0","0","23","26","0","26"
"澎湖縣","1","0","0","1","2","0.1635","0","0","0.2064","0.3699","0.04","1,400","0","1","0","0","1","2","0","2"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","8","0","0","4","12","6.5513","0","0","5.8330","12.3843","1.40","3,600","78,500","4","0","0","4","8","0","8"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"預定收獲統計(經營型態=成魚養成)"
"預定收獲月份","魚塭口數","魚塭面積(公頃)","在池放養量(尾、粒、隻)","新放養量(尾、粒、隻)","預定收獲重量(公噸)"
"今年3月","0","0","0","0","0"
"今年4月","0","0","0","0","0"
"今年5月","0","0","0","0","0"
"今年6月","1","1.4305","0","15,000","13"
"今年7月","0","0","0","0","0"
"今年8月","5","1.6297","280,000","0","34"
"今年9月","1","0.5727","3,000","0","1"
"今年10月","13","5.3254","36,800","12,000","11"
"今年11月","121","66.6863","470,200","195,300","684"
"今年12月","759","375.3604","2,245,766","1,097,500","2,012"
"明年1月","2","0.7062","10,000","12,000","21"
"明年2月","11","5.4148","10,300","59,000","41"
"明年3月","2","1.2143","0","13,000","7"
"水源別統計"
"所屬縣市","魚塭口數",,,"魚塭面積(公頃)",,,"在池放養量(尾、粒、隻)",,,"新放養量(尾、粒、隻)",,,"預定收獲重量(公噸)"
,"無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水","無填寫","淡水","鹹水"
"總　計","118","775","974","64.3096","341.5551","479.9153","305,600","2,132,968","3,385,246","1,008,000","3,129,100","2,622,500","146","1,615","2,920"
"臺南市","48","58","279","24.5325","30.2008","179.7242","131,000","199,500","1,444,400","462,000","195,600","936,400","60","89","408"
"屏東縣","3","2","0","1.0771","0.5161","0","53,000","200,000","0","0","0","0","0","2","0"
"雲林縣","5","26","404","3.1131","11.5314","162.9907","9,000","293,800","1,054,696","14,500","20,000","425,700","5","170","457"
"嘉義縣","0","637","144","0","280.1678","69.0902","0","1,316,268","419,850","0","2,757,000","524,700","0","1,167","405"
"彰化縣","2","10","68","1.4699","1.8037","26.2034","5,000","24,000","184,600","8,000","0","16,200","0","0","0"
"高雄市","46","38","22","21.0708","15.8115","11.4883","49,000","73,900","43,800","445,000","146,500","314,500","28","150","113"
"宜蘭縣","0","1","1","0","0.0870","0.0842","0","20,000","0","0","0","5,000","0","0","2"
"桃園縣","2","1","0","0.6619","0.0264","0","55,000","1,500","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","2","54","0","1.4104","29.9644","0","4,000","236,500","0","10,000","400,000","0","37","1,532"
"澎湖縣","0","0","2","0","0","0.3699","0","0","1,400","0","0","0","0","0","3"
"南投縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新竹市","12","0","0","12.3843","0","0","3,600","0","0","78,500","0","0","53","0","0"
"臺中市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─口數、面積(公頃)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)","魚塭口數","魚塭面積(公頃)"
"總　計","0","0","0","0","0","0","270","98.7040","1,597","787.0760"
"臺南市","0","0","0","0","0","0","46","20.0877","339","214.3698"
"屏東縣","0","0","0","0","0","0","0","0","5","1.5932"
"雲林縣","0","0","0","0","0","0","12","4.4336","423","173.2016"
"嘉義縣","0","0","0","0","0","0","200","71.1246","581","278.1334"
"彰化縣","0","0","0","0","0","0","2","0.6697","78","28.8073"
"高雄市","0","0","0","0","0","0","4","1.7172","102","46.6534"
"宜蘭縣","0","0","0","0","0","0","1","0.0870","1","0.0842"
"桃園縣","0","0","0","0","0","0","2","0.1129","1","0.5754"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","3","0.4713","53","30.9035"
"澎湖縣","0","0","0","0","0","0","0","0","2","0.3699"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","12","12.3843"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
"經營型態統計─放養量(尾、粒、隻)"
"所屬縣市","無填寫",,"魚苗繁殖",,"種魚繁殖",,"中間養殖",,"成魚養成"
,"在池","新放養","在池","新放養","在池","新放養","在池","新放養","在池","新放養"
"總　計","0","0","0","0","0","0","587,250","2,638,800","5,236,564","4,120,800"
"臺南市","0","0","0","0","0","0","201,000","397,000","1,573,900","1,197,000"
"屏東縣","0","0","0","0","0","0","0","0","253,000","0"
"雲林縣","0","0","0","0","0","0","139,100","14,500","1,218,396","445,700"
"嘉義縣","0","0","0","0","0","0","148,650","2,107,300","1,587,468","1,174,400"
"彰化縣","0","0","0","0","0","0","7,000","0","206,600","24,200"
"高雄市","0","0","0","0","0","0","0","120,000","166,700","786,000"
"宜蘭縣","0","0","0","0","0","0","20,000","0","0","5,000"
"桃園縣","0","0","0","0","0","0","46,500","0","10,000","0"
"花蓮縣","0","0","0","0","0","0","0","0","0","0"
"臺東縣","0","0","0","0","0","0","0","0","0","0"
"新竹縣","0","0","0","0","0","0","25,000","0","215,500","410,000"
"澎湖縣","0","0","0","0","0","0","0","0","1,400","0"
"南投縣","0","0","0","0","0","0","0","0","0","0"
"新北市","0","0","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0","3,600","78,500"
"臺中市","0","0","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0","0","0"
