"調查年度",95,"放養面積","112.2800(公頃)"
"魚種名稱","草蝦","放養數量","85,693,662(尾、粒、隻)"
"所屬縣市","養殖口數",,"養殖面積（公頃）",,,,"放養數量"
,"單養","混養","單養","混養","合　計","百分比(%)","單養","混養"
"合　計","334","100","112.2800","43.4759","155.7559","100.00","85,693,662","183,159,010"
"屏東縣","2","0","0.1933","0","0.1933","0.12","300,000","910,000"
"臺南縣","89","18","24.8436","7.2237","32.0673","20.59","8,583,000","61,602,200"
"雲林縣","60","21","27.1049","15.0397","42.1446","27.06","29,354,662","61,246,010"
"嘉義縣","68","37","22.2064","13.8626","36.0690","23.16","22,120,000","51,331,000"
"高雄縣","8","0","1.9614","0","1.9614","1.26","1,920,000","360,000"
"彰化縣","13","0","4.1574","0","4.1574","2.67","3,000,000","0"
"臺南市","57","19","20.4208","6.2588","26.6796","17.13","12,491,000","4,080,000"
"宜蘭縣","36","4","10.9905","1.0911","12.0816","7.76","7,425,000","150,000"
"桃園縣","0","0","0","0","0","0","0","0"
"花蓮縣","0","0","0","0","0","0","0","0"
"臺東縣","1","0","0.4017","0","0.4017","0.26","500,000","0"
"澎湖縣","0","0","0","0","0","0","0","0"
"新竹縣","0","1","0","0","0","0","0","2,470,000"
"南投縣","0","0","0","0","0","0","0","0"
"臺北縣","0","0","0","0","0","0","0","0"
"新竹市","0","0","0","0","0","0","0","0"
"苗栗縣","0","0","0","0","0","0","0","0"
"臺中縣","0","0","0","0","0","0","0","0"
"嘉義市","0","0","0","0","0","0","0","0"
"高雄市","0","0","0","0","0","0","0","0"
"臺北市","0","0","0","0","0","0","0","504,900"
"臺中市","0","0","0","0","0","0","0","0"
"基隆市","0","0","0","0","0","0","0","0"
"連江縣","0","0","0","0","0","0","0","0"
"金門縣","0","0","0","0","0","0","0","504,900"
"土地權利別"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"公有","2","4","1.0698","1.9630","3.0328","1.95"
"自有","210","64","63.6784","26.4104","90.0888","57.84"
"公有租用","103","30","40.6977","14.4557","55.1534","35.41"
"私有租用","19","2","6.8341","0.6468","7.4809","4.80"
"私有","0","0","0","0","0","0"
"經營型態"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"魚苗繁殖","1","4","0.7438","1.5461","2.2899","1.47"
"中間養成","68","29","29.6344","17.7850","47.4194","30.44"
"成魚養成","265","67","81.9018","24.1448","106.0466","68.09"
"養殖池水"
"項目","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"淡水","27","0","8.1229","0","8.1229","5.22"
"純海水","240","65","80.1056","33.2844","113.3900","72.80"
"半淡鹹水","67","35","24.0515","10.1915","34.2430","21.99"
"擬收獲期"
"預定收獲月份","養殖口數",,"養殖面積（公頃）"
,"單養","混養","單養","混養","合　計","百分比(%)"
"今年5月","0","0","0","0","0","0"
"今年6月","0","0","0","0","0","0"
"今年7月","10","9","3.3767","2.4190","5.7957","3.72"
"今年8月","32","8","11.7406","4.0511","15.7917","10.14"
"今年9月","85","14","30.4182","3.4612","33.8794","21.75"
"今年10月","86","17","27.8372","7.4242","35.2614","22.64"
"今年11月","59","4","14.9967","1.4702","16.4669","10.57"
"今年12月","26","24","12.4268","13.3856","25.8124","16.57"
"明年1月","11","9","2.7191","1.1061","3.8252","2.46"
"明年2月","1","5","0.1927","1.3311","1.5238","0.98"
"明年3月","8","5","4.0338","7.0497","11.0835","7.12"
"明年4月","2","4","0.5080","0.9063","1.4143","0.91"
"明年5月","2","0","0.5387","0","0.5387","0.35"
"明年6月","4","0","1.0828","0","1.0828","0.70"
"明年7月","0","0","0","0","0","0"
"明年8月","2","1","0.7324","0.8714","1.6038","1.03"
"明年9月","0","0","0","0","0","0"
"明年10月","1","0","0.6058","0","0.6058","0.39"
"明年11月","0","0","0","0","0","0"
"明年12月","2","0","0.2283","0","0.2283","0.15"
"後年","1","0","0.4971","0","0.4971","0.32"
"今年4月","0","0","0","0","0","0"
"今年1月","0","0","0","0","0","0"
"今年3月","1","0","0.2177","0","0.2177","0.14"
"今年2月","1","0","0.1274","0","0.1274","0.08"
